Title,Conference,Type,Application,MLTech,OpenreviewLink
The dark side of the forces: assessing non-conservative force models for atomistic machine learning,ICML_2025,Oral,Chemistry,?,https://openreview.net/forum?id=OEl3L8osas
The Value of Prediction in Identifying the Worst-Off,ICML_2025,Oral,Socail_Science,?,https://openreview.net/forum?id=26JsumCG0z
Learning Smooth and Expressive Interatomic Potentials for Physical Property Prediction,ICML_2025,Oral,Chemistry,Application-Driven_ML,https://openreview.net/forum?id=R0PBjxIbgm

