Title,Conference,Type,Application,MLTech,OpenReviewLink
Learning Formal Mathematics From Intrinsic Motivation,NeurIPS_2024,Oral,Math,Reinforcement_Learning,https://openreview.net/forum?id=uNKlTQ8mBD
Neural Pfaffians: Solving Many Many-Electron Schrödinger Equations,NeurIPS_2024,Oral,Physics,Neural_Network,https://openreview.net/forum?id=HRkniCWM3E
MDAgents: An Adaptive Collaboration of LLMs for Medical Decision-Making,NeurIPS_2024,Oral,Medical,Large_Language_Model,https://openreview.net/forum?id=EKdk4vxKO4
Graph Diffusion Transformers for Multi-Conditional Molecular Generation,NeurIPS_2024,Oral,Chemistry,Transformers,https://openreview.net/forum?id=cfrDLD1wfO

